Identificador|periodo|DIAS1|DIAS2|DIAS3|DIAS4|DIAS5|DIAS6|DIAS0|Numero_Producto|GENERO|Saldo_Mora1|Cupo|Saldo_Mora2|Saldo1|Saldo_Mora3|Saldo2|Saldo_Mora4|Saldo3|Saldo_Mora5|Saldo4|Saldo_Mora6|Saldo5|Saldo6
92967489261|201709|0|7|0|8|5|5|6|1|F|||||0|142740928,1|0|142633865,4|0|142525769,4|0|142416631,6|142306442,1
92966450729|201709|4|3|1|35|63|91|33|3|M|0|50428837,14|1633358,89|51131009,03|0|48553998,93|0|47597716,22|1632024,12|48260656,82|1627744,13|47274321,2|44651376,02
92966455993|201809|0|0|0|0|0|NA|0|1|M|||||0|18500000|0|18695972.35|0|18608333.34|0|18519374.9|18429070.35
92967425200|201809|0|0|0|0|0|NA|9|3|M|51190|2167005.69|53505|2879391.89|62504|2994000.84|60832|2707952.25|65432|2892788.84|63616|2765910.14|2643928.87
92967417881|201806|42|73|101|134|164|192|10|2|M|147|10263|128|10262|800|10534|117|10249|10607|20572|23824|21573|81389
92966454382|201806|0|0|0|0|0|0|0|1|M|||||||||||||
92966454377|201709|75|105|133|167|195|223|43|1|M|0|0|0|0|0|0|0|0|0|0|0|0|0
92966499338|201709|0|9|0|10|7|7|70|1|F|935193,49|56386954,46|864368,63|56010087,93|935348,37|55771893,34|935079,29|55459286,21|936033,47|55144702,39|1876469,95|55766371,93|56390782,89
92967459542|201806|0|0|0|0|0|0|0|1|M|9986|697780,85|9118|9118|10283|1008697,58|33880|1032294,58|12451|968321,58|9639|998625,58|920047,58
92966509113|201806|0|0|0|0|0|0|0|1||0|0|0|0|0|0|0|0|0|0|0|0|0
92966455381|201803|0|0|0|0|0|0|0|1|M|||||||||||54558|11324391|12100625
92966511955|201803|84|87|55|56|87|85|51|1|M|||||||||||||77271958,74
92966512532|201803|0|0|0|0|0|0|0|2|M|26112|1578887,42|33176|1704942,86|58384|3514096,03|95821|5892329,73|71889|2896762,26|78577|3480923,71|3389339,22
92966500497|201803|2|3|1|3|3|0|0|1|F|677770,94|29958522,55|677253,71|29697952,83|676736,47|29433883,39|0|28490048,15|0|28219354,91|677749,07|28622768,29|28344210,31
92967440338|201709|0|0|0|0|0|0|0|1|F|17599|702303,22|15038|658660,43|14838|735447,12|15728|573099,64|14027|655278,86|13151|625360,06|2303149,24
92966445990|201806|0|14|0|0|0|0|0|1|M|||||||||||||0
92967482388|201712|0|0|0|0|0|0|0|1|M|||||||||11656|1564656|17032|1572562,01|1524766,01
92966523047|201712|6|3|NA|NA|NA|NA|3|1|M|0|114167949|0|113691245,2|1412847,67|114623770,7|0|112726954,6|0|112239312,4|0|111747968,6|111252895,2
92966438717|201709|0|2|0|0|0|0|1|1|M|||0|483771681,4|5436900,85|488009136,8|155213,03|481601286,5|0|480310064,9|148652,43|479312792,4|478008206,3
92966471166|201709|0|0|0|0|0|0|0|1||14252|776516|25530|997247|27210|1117841|24079|1104810|23883|1093614|22231|1080077|1068695
92966472180|201803|0|0|0|13|0|9|0|1|F|53082|2654808,11|51850|2591595,47|26120|2568852,5|88175|2879021,31|66066|2791047,6|70842|2731138,33|2643836,46
92966478148|201709|0|0|0|0|0|0|0|1|F|5447|1095502|7490|677428|4984|1709229|8684|787610|1999|436309|46672|2421736|906708
92966473739|201803|0|0|0|0|2|0|0|1|F|9552|8879552|104919|8887113,18|77581|9666075,58|80903|9421190,57|78246|9161459,94|75937|8898649,17|8652672,32
92966513231|201806|0|0|0|0|0|0|0|2|M|||||||132269|743484082,3|0|735615698,3|0|734384873,8|733145654,3
92966452419|201803|38|69|6|8|8|36|5|1|M|0|23409256,54|702964,66|23751670,74|1424212,74|24107103,94|2160920,99|24472655,6|2860429,17|24795588,16|3577282,35|25130367,4|23060085,37
92966497233|201803|0|0|0|0|0|0|0|1|F|8594|645778|11472|742853|8915|958608|2102|461960|0|120586|0|0|0
92966478069|201809|8|7|5|8|2|NA|5|3|F|||||||||||||36129884.8
92966476635|201712|0|0|0|0|0|0|0|1|F|0|16930279,14|0|16845232|0|16758912,68|0|16671302,99|0|16582382,72|0|16492132,67|16400532,64
92966487558|201806|0|0|0|0|0|0|0|1|F|0|30044580,48|273085,44|30265193,68|274482,83|30213601,65|274636,8|30160243,04|274799,46|30106365,79|274949,35|30051942,75|29996990,18
92966445163|201809|0|11|0|14|0|NA|0|2|M|138842|7439159.16|126543|6738714.99|834399.57|9754243.99|133228|9115572.03|751124.58|10324141.03|169540|12403893.34|11302908
92966446707|201709|0|0|0|0|0|0|0|1|M|0|27212774,08|0|26981609,22|0|26747068,19|0|26509102,51|0|26267662,68|0|26022697,18|25774154,49
92966478649|201712|27|55|0|0|28|57|85|2|F|3090590|7760339|5748895|8176151|353991|5569357|10|2432414|327|7900681|5700453,07|8102199|7830113
92966446306|201809|23|22|20|23|20|NA|20|2|M|0|51730771.45|0|51228395.52|0|50720430.32|0|50206813.32|0|49687481.99|0|49162372.8|48631421.19
92966447720|201712|62|NA|NA|NA|NA|NA|28|2|M|5314509,04|91567378,85|2702755,69|87366969,33|5453051,85|885.762.794.699.999|2698117,99|84127214,49|2694866,56|82477036,16|2589229,48|80704577,18|81769408,82
